NAME Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP 
Z194180680 -26.802516 44 5 -3.110372 -7.39584 -28.589609 9.888297 10.303248 5.885018 -86.416905 1 3.240994 
Z422795740 -26.487797 44 6 -3.235737 -7.5311 -28.216148 8.108541 9.586573 6.319201 -82.560665 1 3.295088 
Z15392402 -25.891075 44 4 -3.393735 -7.600321 -31.19413 8.906095 13.614145 9.652743 -93.227727 1 4.089516 
Z1609732407 -25.740332 44 6 -4.971809 -6.145957 -25.205491 4.825049 13.468677 3.727454 -103.561327 1 3.414598 
Z26326086 -25.466464 44 2 -2.459365 -6.651991 -30.710527 6.963162 14.348581 6.002508 -103.827231 1 1.389533 
Z71115864 -25.272251 44 4 -2.992916 -7.143663 -26.65988 7.153856 10.96334 4.732507 -77.981212 1 4.610418 
Z1622477057 -25.197439 44 7 -6.701548 -6.579422 -28.761936 5.565091 11.839929 17.951029 -83.273805 1 2.636964 
Z61980600 -25.108495 44 3 -2.5789 -6.400739 -30.217185 4.642984 11.991857 7.76956 -97.52797 1 1.0613 
Z915393136 -25.065777 44 5 -3.150462 -6.661721 -28.96036 8.675383 11.041514 7.647682 -62.299108 1 3.004672 
Z114048398 -36.099484 45 6 -7.728392 -6.562454 -32.857093 5.472109 17.323248 6.234618 -79.975229 1 0.857061 
Z18452549 -31.266633 45 4 -4.228187 -6.818598 -33.907371 7.979553 15.620582 5.744053 -100.940609 1 4.43273 
Z56824631 -29.963064 45 4 -6.398402 -6.073451 -30.916874 9.984128 13.676007 12.960565 -84.01516 1 0.918651 
Z281155238 -29.73191 45 7 -4.549716 -5.908196 -29.935273 8.317382 12.059436 3.678879 -106.078305 1 2.27177 
Z275650978 -28.970686 45 4 -3.241631 -6.528803 -32.874519 9.48505 13.533928 5.953048 -66.792531 1 3.19549 
Z167527456 -28.842111 45 6 -5.347477 -6.360647 -27.571668 6.252079 11.973286 5.970216 -101.009247 1 2.820164 
Z192569606 -28.59038 45 7 -7.995057 -5.017716 -26.381609 4.973245 16.576574 7.194185 -101.253981 1 1.083363 
Z90423798 -28.190441 45 4 -2.700693 -7.036306 -29.572823 6.983995 10.390395 4.14646 -113.217835 1 3.940356 
Z237944434 -27.248583 45 5 -5.784703 -6.353103 -29.373087 7.214125 14.450678 10.876324 -91.14556 1 0.72224 
Z1139447163 -26.796798 45 3 -3.789046 -6.588388 -29.932091 8.341663 13.051297 8.40504 -101.550908 1 1.118055 
Z45959721 -26.738099 45 4 -3.294838 -5.867503 -31.025229 7.459487 11.855185 7.974102 -33.883515 1 1.264499 
Z228184226 -26.62522 45 3 -3.920225 -6.390145 -28.145866 5.226631 12.229241 7.194366 -77.335573 1 2.059368 
